0x4 ntdll!ZwDeviceIoControlFile
0x5 ntdll!ZwWriteFile
0x18 ntdll!NtWriteFileGather
0x19 ntdll!ZwSetInformationProcess
0x1A ntdll!ZwCreateKey
0x23 ntdll!ZwOpenProcess
0x24 ntdll!NtSetInformationFile
0x29 ntdll!NtTerminateProcess
0x36 ntdll!ZwFsControlFile
0x4A ntdll!ZwCreateProcessEx
0x4B ntdll!ZwCreateThread
0x4D ntdll!ZwProtectVirtualMemory
0x4F ntdll!ZwResumeThread
0x52 ntdll!ZwCreateFile
0x5D ntdll!ZwSetValueKey
0x66 ntdll!NtAddBootEntry
0x67 ntdll!ZwAddDriverEntry
0x69 ntdll!ZwAlertResumeThread
0x9F ntdll!ZwCreateProcess
0xA5 ntdll!ZwCreateThreadEx
0xAA ntdll!NtCreateUserProcess
0xB0 ntdll!ZwDeleteBootEntry
0xB1 ntdll!ZwDeleteDriverEntry
0xB2 ntdll!ZwDeleteFile
0xB3 ntdll!NtDeleteKey
0xB6 ntdll!ZwDeleteValueKey
0xDD ntdll!ZwLoadKey
0xE8 ntdll!ZwModifyBootEntry
0xE9 ntdll!ZwModifyDriverEntry
0x12F ntdll!ZwRaiseException
0x130 ntdll!ZwRaiseHardError
0x13B ntdll!ZwRenameKey
0x13D ntdll!ZwReplaceKey
0x143 ntdll!ZwRestoreKey
0x144 ntdll!NtResumeProcess
0x149 ntdll!NtSaveKey
0x14E ntdll!NtSetBootEntryOrder
0x14F ntdll!ZwSetBootOptions
0x155 ntdll!ZwSetDriverEntryOrder
0x156 ntdll!NtSetEaFile
0x169 ntdll!NtSetSecurityObject
0x16A ntdll!NtSetSystemEnvironmentValue
0x16B ntdll!ZwSetSystemEnvironmentValueEx
0x16C ntdll!NtSetSystemInformation
0x16D ntdll!ZwSetSystemPowerState
0x16E ntdll!ZwSetSystemTime
0x174 ntdll!ZwShutdownSystem
0x17A ntdll!NtSuspendProcess
0x17B ntdll!NtSuspendThread
0x183 ntdll!NtUmsThreadYield
0x184 ntdll!ZwUnloadDriver
0x185 ntdll!ZwUnloadKey
