0x1 ntdll!NtWaitForSingleObject
0x2 ntdll!NtCallbackReturn
0x3 ntdll!ZwReadFile
0x4 ntdll!ZwDeviceIoControlFile
0x5 ntdll!ZwWriteFile
0x6 ntdll!ZwRemoveIoCompletion
0x7 ntdll!NtReleaseSemaphore
0x8 ntdll!NtReplyWaitReceivePort
0x9 ntdll!NtReplyPort
0xA ntdll!ZwSetInformationThread
0xB ntdll!NtSetEvent
0xC ntdll!NtClose
0xD ntdll!ZwQueryObject
0xE ntdll!NtQueryInformationFile
0xF ntdll!ZwOpenKey
0x10 ntdll!ZwEnumerateValueKey
0x11 ntdll!ZwFindAtom
0x12 ntdll!ZwQueryDefaultLocale
0x13 ntdll!ZwQueryKey
0x14 ntdll!NtQueryValueKey
0x15 ntdll!NtAllocateVirtualMemory
0x16 ntdll!ZwQueryInformationProcess
0x17 ntdll!ZwWaitForMultipleObjects32
0x18 ntdll!NtWriteFileGather
0x19 ntdll!ZwSetInformationProcess
0x1A ntdll!ZwCreateKey
0x1B ntdll!NtFreeVirtualMemory
0x1C ntdll!ZwImpersonateClientOfPort
0x1D ntdll!ZwReleaseMutant
0x1E ntdll!ZwQueryInformationToken
0x1F ntdll!NtRequestWaitReplyPort
0x20 ntdll!ZwQueryVirtualMemory
0x21 ntdll!NtOpenThreadToken
0x22 ntdll!ZwQueryInformationThread
0x23 ntdll!ZwOpenProcess
0x24 ntdll!NtSetInformationFile
0x25 ntdll!NtMapViewOfSection
0x26 ntdll!ZwAccessCheckAndAuditAlarm
0x27 ntdll!ZwUnmapViewOfSection
0x28 ntdll!NtReplyWaitReceivePortEx
0x29 ntdll!NtTerminateProcess
0x2A ntdll!ZwSetEventBoostPriority
0x2B ntdll!ZwReadFileScatter
0x2C ntdll!ZwOpenThreadTokenEx
0x2D ntdll!ZwOpenProcessTokenEx
0x2E ntdll!NtQueryPerformanceCounter
0x2F ntdll!NtEnumerateKey
0x30 ntdll!NtOpenFile
0x31 ntdll!NtDelayExecution
0x32 ntdll!ZwQueryDirectoryFile
0x33 ntdll!NtQuerySystemInformation
0x34 ntdll!ZwOpenSection
0x35 ntdll!NtQueryTimer
0x36 ntdll!NtFsControlFile
0x37 ntdll!NtWriteVirtualMemory
0x38 ntdll!NtCloseObjectAuditAlarm
0x39 ntdll!NtDuplicateObject
0x3A ntdll!NtQueryAttributesFile
0x3B ntdll!ZwClearEvent
0x3C ntdll!NtReadVirtualMemory
0x3D ntdll!NtOpenEvent
0x3E ntdll!ZwAdjustPrivilegesToken
0x3F ntdll!ZwDuplicateToken
0x40 ntdll!NtContinue
0x41 ntdll!NtQueryDefaultUILanguage
0x42 ntdll!ZwQueueApcThread
0x43 ntdll!ZwYieldExecution
0x44 ntdll!NtAddAtom
0x45 ntdll!NtCreateEvent
0x46 ntdll!NtQueryVolumeInformationFile
0x47 ntdll!NtCreateSection
0x48 ntdll!ZwFlushBuffersFile
0x49 ntdll!NtApphelpCacheControl
0x4A ntdll!ZwCreateProcessEx
0x4B ntdll!ZwCreateThread
0x4C ntdll!NtIsProcessInJob
0x4D ntdll!ZwProtectVirtualMemory
0x4E ntdll!NtQuerySection
0x4F ntdll!ZwResumeThread
0x50 ntdll!NtTerminateThread
0x51 ntdll!ZwReadRequestData
0x52 ntdll!ZwCreateFile
0x53 ntdll!ZwQueryEvent
0x54 ntdll!ZwWriteRequestData
0x55 ntdll!NtOpenDirectoryObject
0x56 ntdll!ZwAccessCheckByTypeAndAuditAlarm
0x57 ntdll!NtQuerySystemTime
0x58 ntdll!NtWaitForMultipleObjects
0x59 ntdll!NtSetInformationObject
0x5A ntdll!ZwCancelIoFile
0x5B ntdll!NtTraceEvent
0x5C ntdll!ZwPowerInformation
0x5D ntdll!NtSetValueKey
0x5E ntdll!NtCancelTimer
0x5F ntdll!NtSetTimer
0x60 ntdll!ZwAcceptConnectPort
0x61 ntdll!ZwAccessCheck
0x62 ntdll!ZwAccessCheckByType
0x63 ntdll!ZwAccessCheckByTypeResultList
0x64 ntdll!ZwAccessCheckByTypeResultListAndAuditAlarm
0x65 ntdll!NtAccessCheckByTypeResultListAndAuditAlarmByHandle
0x66 ntdll!NtAddBootEntry
0x67 ntdll!ZwAddDriverEntry
0x68 ntdll!NtAdjustGroupsToken
0x69 ntdll!ZwAlertResumeThread
0x6A ntdll!NtAlertThread
0x6B ntdll!ZwAllocateLocallyUniqueId
0x6C ntdll!NtAllocateReserveObject
0x6D ntdll!ZwAllocateUserPhysicalPages
0x6E ntdll!ZwAllocateUuids
0x6F ntdll!ZwAlpcAcceptConnectPort
0x70 ntdll!NtAlpcCancelMessage
0x71 ntdll!ZwAlpcConnectPort
0x72 ntdll!NtAlpcCreatePort
0x73 ntdll!NtAlpcCreatePortSection
0x74 ntdll!NtAlpcCreateResourceReserve
0x75 ntdll!NtAlpcCreateSectionView
0x76 ntdll!NtAlpcCreateSecurityContext
0x77 ntdll!NtAlpcDeletePortSection
0x78 ntdll!ZwAlpcDeleteResourceReserve
0x79 ntdll!NtAlpcDeleteSectionView
0x7A ntdll!NtAlpcDeleteSecurityContext
0x7B ntdll!NtAlpcDisconnectPort
0x7C ntdll!ZwAlpcImpersonateClientOfPort
0x7D ntdll!NtAlpcOpenSenderProcess
0x7E ntdll!ZwAlpcOpenSenderThread
0x7F ntdll!NtAlpcQueryInformation
0x80 ntdll!ZwAlpcQueryInformationMessage
0x81 ntdll!NtAlpcRevokeSecurityContext
0x82 ntdll!ZwAlpcSendWaitReceivePort
0x83 ntdll!ZwAlpcSetInformation
0x84 ntdll!ZwAreMappedFilesTheSame
0x85 ntdll!ZwAssignProcessToJobObject
0x86 ntdll!NtCancelIoFileEx
0x87 ntdll!ZwCancelSynchronousIoFile
0x88 ntdll!NtCommitComplete
0x89 ntdll!ZwCommitEnlistment
0x8A ntdll!NtCommitTransaction
0x8B ntdll!NtCompactKeys
0x8C ntdll!NtCompareTokens
0x8D ntdll!ZwCompleteConnectPort
0x8E ntdll!NtCompressKey
0x8F ntdll!ZwConnectPort
0x90 ntdll!ZwCreateDebugObject
0x91 ntdll!ZwCreateDirectoryObject
0x92 ntdll!NtCreateEnlistment
0x93 ntdll!NtCreateEventPair
0x94 ntdll!NtCreateIoCompletion
0x95 ntdll!ZwCreateJobObject
0x96 ntdll!NtCreateJobSet
0x97 ntdll!ZwCreateKeyTransacted
0x98 ntdll!NtCreateKeyedEvent
0x99 ntdll!NtCreateMailslotFile
0x9A ntdll!NtCreateMutant
0x9B ntdll!ZwCreateNamedPipeFile
0x9C ntdll!NtCreatePagingFile
0x9D ntdll!ZwCreatePort
0x9E ntdll!ZwCreatePrivateNamespace
0x9F ntdll!ZwCreateProcess
0xA0 ntdll!ZwCreateProfile
0xA1 ntdll!NtCreateProfileEx
0xA2 ntdll!ZwCreateResourceManager
0xA3 ntdll!ZwCreateSemaphore
0xA4 ntdll!ZwCreateSymbolicLinkObject
0xA5 ntdll!ZwCreateThreadEx
0xA6 ntdll!NtCreateTimer
0xA7 ntdll!NtCreateToken
0xA8 ntdll!NtCreateTransaction
0xA9 ntdll!ZwCreateTransactionManager
0xAA ntdll!Nt
0xAB ntdll!NtCreateWaitablePort
0xAC ntdll!ZwCreateWorkerFactory
0xAD ntdll!NtDebugActiveProcess
0xAE ntdll!NtDebugContinue
0xAF ntdll!ZwDeleteAtom
0xB0 ntdll!ZwDeleteBootEntry
0xB1 ntdll!ZwDeleteDriverEntry
0xB2 ntdll!ZwDeleteFile
0xB3 ntdll!NtDeleteKey
0xB4 ntdll!NtDeleteObjectAuditAlarm
0xB5 ntdll!NtDeletePrivateNamespace
0xB6 ntdll!ZwDeleteValueKey
0xB7 ntdll!ZwDisableLastKnownGood
0xB8 ntdll!ZwDisplayString
0xB9 ntdll!ZwDrawText
0xBA ntdll!NtEnableLastKnownGood
0xBB ntdll!ZwEnumerateBootEntries
0xBC ntdll!NtEnumerateDriverEntries
0xBD ntdll!NtEnumerateSystemEnvironmentValuesEx
0xBE ntdll!ZwEnumerateTransactionObject
0xBF ntdll!ZwExtendSection
0xC0 ntdll!ZwFilterToken
0xC1 ntdll!NtFlushInstallUILanguage
0xC2 ntdll!ZwFlushInstructionCache
0xC3 ntdll!NtFlushKey
0xC4 ntdll!NtFlushProcessWriteBuffers
0xC5 ntdll!NtFlushVirtualMemory
0xC6 ntdll!ZwFlushWriteBuffer
0xC7 ntdll!ZwFreeUserPhysicalPages
0xC8 ntdll!ZwFreezeRegistry
0xC9 ntdll!NtFreezeTransactions
0xCA ntdll!ZwGetContextThread
0xCB ntdll!ZwGetCurrentProcessorNumber
0xCC ntdll!ZwGetDevicePowerState
0xCD ntdll!NtGetMUIRegistryInfo
0xCE ntdll!ZwGetNextProcess
0xCF ntdll!NtGetNextThread
0xD0 ntdll!ZwGetNlsSectionPtr
0xD1 ntdll!ZwGetNotificationResourceManager
0xD2 ntdll!NtGetPlugPlayEvent
