0 ntdll!ZwAcceptConnectPort
1 ntdll!ZwAccessCheck
2 ntdll!ZwAccessCheckAndAuditAlarm
3 ntdll!ZwAccessCheckByType
4 ntdll!NtAccessCheckByTypeAndAuditAlarm
5 ntdll!ZwAccessCheckByTypeResultList
6 ntdll!NtAccessCheckByTypeResultListAndAuditAlarm
7 ntdll!ZwAccessCheckByTypeResultListAndAuditAlarmByHandle
8 ntdll!NtAddAtom
9 ntdll!NtAddBootEntry
A ntdll!ZwAddDriverEntry
B ntdll!ZwAdjustGroupsToken
C ntdll!NtAdjustPrivilegesToken
D ntdll!NtAlertResumeThread
E ntdll!NtAlertThread
F ntdll!ZwAllocateLocallyUniqueId
10 ntdll!ZwAllocateReserveObject
11 ntdll!NtAllocateUserPhysicalPages
12 ntdll!NtAllocateUuids
13 ntdll!NtAllocateVirtualMemory
14 ntdll!ZwAlpcAcceptConnectPort
15 ntdll!NtAlpcCancelMessage
16 ntdll!NtAlpcConnectPort
17 ntdll!NtAlpcCreatePort
18 ntdll!ZwAlpcCreatePortSection
19 ntdll!NtAlpcCreateResourceReserve
1A ntdll!ZwAlpcCreateSectionView
1B ntdll!NtAlpcCreateSecurityContext
1C ntdll!NtAlpcDeletePortSection
1D ntdll!NtAlpcDeleteResourceReserve
1E ntdll!ZwAlpcDeleteSectionView
1F ntdll!ZwAlpcDeleteSecurityContext
20 ntdll!NtAlpcDisconnectPort
21 ntdll!ZwAlpcImpersonateClientOfPort
22 ntdll!ZwAlpcOpenSenderProcess
23 ntdll!ZwAlpcOpenSenderThread
24 ntdll!NtAlpcQueryInformation
25 ntdll!ZwAlpcQueryInformationMessage
26 ntdll!NtAlpcRevokeSecurityContext
27 ntdll!ZwAlpcSendWaitReceivePort
28 ntdll!ZwAlpcSetInformation
29 ntdll!ZwApphelpCacheControl
2A ntdll!ZwAreMappedFilesTheSame
2B ntdll!NtAssignProcessToJobObject
2C ntdll!ZwCallbackReturn
2D ntdll!NtCancelIoFile
2E ntdll!ZwCancelIoFileEx
2F ntdll!NtCancelSynchronousIoFile
30 ntdll!NtCancelTimer
31 ntdll!NtClearEvent
32 ntdll!NtClose
33 ntdll!NtCloseObjectAuditAlarm
34 ntdll!ZwCommitComplete
35 ntdll!ZwCommitEnlistment
36 ntdll!NtCommitTransaction
37 ntdll!NtCompactKeys
38 ntdll!ZwCompareTokens
39 ntdll!NtCompleteConnectPort
3A ntdll!NtCompressKey
3B ntdll!ZwConnectPort
3C ntdll!NtContinue
3D ntdll!NtCreateDebugObject
3E ntdll!ZwCreateDirectoryObject
3F ntdll!ZwCreateEnlistment
40 ntdll!NtCreateEvent
41 ntdll!NtCreateEventPair
42 ntdll!ZwCreateFile
43 ntdll!NtCreateIoCompletion
44 ntdll!ZwCreateJobObject
45 ntdll!ZwCreateJobSet
46 ntdll!ZwCreateKey
47 ntdll!ZwCreateKeyedEvent
48 ntdll!ZwCreateKeyTransacted
49 ntdll!NtCreateMailslotFile
4A ntdll!NtCreateMutant
4B ntdll!NtCreateNamedPipeFile
4C ntdll!ZwCreatePagingFile
4D ntdll!NtCreatePort
4E ntdll!NtCreatePrivateNamespace
4F ntdll!ZwCreateProcess
50 ntdll!NtCreateProcessEx
51 ntdll!NtCreateProfile
52 ntdll!ZwCreateProfileEx
53 ntdll!ZwCreateResourceManager
54 ntdll!ZwCreateSection
55 ntdll!NtCreateSemaphore
56 ntdll!NtCreateSymbolicLinkObject
57 ntdll!NtCreateThread
58 ntdll!ZwCreateThreadEx
59 ntdll!NtCreateTimer
5A ntdll!ZwCreateToken
5B ntdll!ZwCreateTransaction
5C ntdll!NtCreateTransactionManager
5D ntdll!NtCreateUserProcess
5E ntdll!NtCreateWaitablePort
5F ntdll!ZwCreateWorkerFactory
60 ntdll!ZwDebugActiveProcess
61 ntdll!ZwDebugContinue
62 ntdll!NtDelayExecution
63 ntdll!NtDeleteAtom
64 ntdll!ZwDeleteBootEntry
65 ntdll!ZwDeleteDriverEntry
66 ntdll!NtDeleteFile
67 ntdll!NtDeleteKey
68 ntdll!ZwDeleteObjectAuditAlarm
69 ntdll!ZwDeletePrivateNamespace
6A ntdll!NtDeleteValueKey
6B ntdll!ZwDeviceIoControlFile
6C ntdll!NtDisableLastKnownGood
6D ntdll!ZwDisplayString
6E ntdll!NtDrawText
6F ntdll!NtDuplicateObject
70 ntdll!ZwDuplicateToken
71 ntdll!NtEnableLastKnownGood
72 ntdll!NtEnumerateBootEntries
73 ntdll!ZwEnumerateDriverEntries
74 ntdll!NtEnumerateKey
75 ntdll!ZwEnumerateSystemEnvironmentValuesEx
76 ntdll!NtEnumerateTransactionObject
77 ntdll!ZwEnumerateValueKey
78 ntdll!ZwExtendSection
79 ntdll!NtFilterToken
7A ntdll!NtFindAtom
7B ntdll!NtFlushBuffersFile
7C ntdll!NtFlushInstallUILanguage
7D ntdll!ZwFlushInstructionCache
7E ntdll!ZwFlushKey
7F ntdll!ZwFlushProcessWriteBuffers
80 ntdll!NtFlushVirtualMemory
81 ntdll!NtFlushWriteBuffer
82 ntdll!NtFreeUserPhysicalPages
83 ntdll!ZwFreeVirtualMemory
84 ntdll!ZwFreezeRegistry
85 ntdll!ZwFreezeTransactions
86 ntdll!ZwFsControlFile
87 ntdll!NtGetContextThread
88 ntdll!ZwGetCurrentProcessorNumber
89 ntdll!NtGetDevicePowerState
8A ntdll!ZwGetMUIRegistryInfo
8B ntdll!ZwGetNextProcess
8C ntdll!ZwGetNextThread
8D ntdll!ZwGetNlsSectionPtr
8E ntdll!NtGetNotificationResourceManager
8F ntdll!NtGetPlugPlayEvent
90 ntdll!NtGetWriteWatch
91 ntdll!ZwImpersonateAnonymousToken
92 ntdll!NtImpersonateClientOfPort
93 ntdll!ZwImpersonateThread
94 ntdll!NtInitializeNlsFiles
95 ntdll!ZwInitializeRegistry
96 ntdll!NtInitiatePowerAction
97 ntdll!ZwIsProcessInJob
98 ntdll!NtIsSystemResumeAutomatic
99 ntdll!ZwIsUILanguageComitted
